城市,年份,夜光亮度,GDP_估算,第二产业占比,第三产业占比,专利授权数,R&D经费,R&D人员全时当量,规上工业企业R&D经费,规上工业企业R&D人员全时当量,信息就业人数,万元GDP能耗变化率,第一产业贡献率,第二产业贡献率,第三产业贡献率,一般公共预算支出
淄博市,2018,0.3205191865872904,0.21012221216260074,0.5172413793103448,0.4761904761904762,0.15316892431633156,0.1523085592853441,0.22470361783105122,0.3079462485610527,0.3100711757317398,0.13043478260869565,0.3046407185628743,0.05633802816901413,0.7374100719424461,0.3160000000000002,0.18482062027327723
滨州市,2018,0.2121413703086008,0.14511623309137434,0.46360153256704983,0.3406593406593406,0.04599146795383857,0.11577168901649469,0.12904107791241962,0.2994345970629575,0.22403227648155902,0.01086956521739131,0.81062874251497,0.4929577464788732,0.81294964028777,0.10800000000000011,0.17944955675405477
潍坊市,2018,0.21550525249581112,0.1471339195752721,0.3448275862068965,0.47985347985348,0.32635926372860613,0.2438817829831117,0.4769893696137189,0.6404726584114022,0.7661096943630343,0.11956521739130434,0.6818862275449101,0.5211267605633803,0.46043165467625896,0.49200000000000016,0.41620203661176414
烟台市,2018,0.522510439324183,0.33127836384423526,0.3524904214559388,0.5531135531135533,0.25849380491867363,0.3208929827761024,0.4423421846974933,0.6777898882550101,0.6544932059528794,0.07608695652173914,0.6833832335329341,0.30985915492957744,0.5179856115107914,0.4880000000000001,0.48969925011533727
聊城市,2018,0.22727108149779424,0.15419116855961926,0.3065134099616858,0.3296703296703297,0.0686302836650407,0.11199064084658791,0.04567128920775187,0.2151711154783029,0.07956837818292543,0.0,0.5606287425149701,1.0,0.5611510791366907,0.24,0.18409079302093417
菏泽市,2018,0.12478478170523018,0.0927189735278316,0.38314176245210724,0.4175824175824176,0.03711949963458368,1.0,0.05427840237980664,0.11121591841407338,0.11671678148669737,0.01086956521739131,0.7320359281437125,0.32394366197183094,0.5683453237410071,0.43200000000000016,0.2799119328467628
青岛市,2018,0.8311958805824063,0.5164306396792118,0.030651340996168744,0.9816849816849816,1.0,0.6398399383102531,1.0,1.0,1.0,0.36956521739130443,1.0,0.0,0.3057553956834533,0.8120000000000002,1.0
东营市,2019,0.38685477240384064,0.29098557175277406,1.0,0.0,0.023403640566310314,0.0966620507680012,0.0672601601119909,0.2657640253636323,0.12196932211776348,0.02173913043478261,0.684880239520958,0.1408450704225352,1.0,0.0,0.08080183421166531
临沂市,2019,0.11681715080662877,0.11910067492701458,0.2720306513409962,0.5567765567765569,0.18262317929194213,0.16948371130401138,0.23251235837088235,0.39034665114829586,0.36470901686141666,0.03260869565217391,0.7380239520958084,0.3661971830985916,0.6366906474820143,0.34,0.4692958993009579
威海市,2019,0.6740184966293712,0.47377161030050713,0.13793103448275867,0.6483516483516485,0.07920186277342489,0.0540813346755328,0.0957500328098342,0.18478905509657642,0.1792714954516043,0.02173913043478261,0.17964071856287428,0.6338028169014084,0.27338129496402885,0.6680000000000001,0.11555807390656442
