城市,年份,夜光亮度,GDP_估算,第二产业占比,第三产业占比,专利授权数,R&D经费,R&D人员全时当量,规上工业企业R&D经费,规上工业企业R&D人员全时当量,信息就业人数,万元GDP能耗变化率,第一产业贡献率,第二产业贡献率,第三产业贡献率,一般公共预算支出
菏泽市,2019,3.66172409057617,3621.817834114968,43.4,47.4,7737,7045055.0,18069.0,657790.0,16802.0,0.4,-5.66,4.6,48.9,46.6,7108772
青岛市,2019,6.58720016479492,6515.411441058442,34.2,62.8,64390,4673325.0,104542.0,2893729.0,63215.0,3.7,-2.08,2.3,41.6,56.1,17204231
东营市,2020,4.50504493713379,4598.630285626723,59.5,36.0,6930,1096384.0,19256.0,1046591.0,17078.0,0.5,-6.29,3.3,60.9,35.8,4317297
临沂市,2020,3.73880910873413,3816.477091689267,40.5,51.2,16298,1575930.0,34366.0,1360007.0,29833.0,0.6,-5.58,4.9,50.8,44.3,9763889
威海市,2020,5.9276909828186,6050.829604991465,37.0,53.7,10213,815981.0,21861.0,842880.0,20089.0,0.5,-13.04,6.8,40.7,52.5,4804571
德州市,2020,4.2895622253418,4378.671253407598,43.3,47.1,10633,1217447.0,23820.0,1143264.0,20911.0,0.6,-15.44,6.2,47.2,46.6,6439882
日照市,2020,3.84642791748047,3926.3315149214704,43.0,48.4,5553,1095487.0,13106.0,725571.0,10669.0,0.4,-6.74,6.8,44.0,49.2,3184475
枣庄市,2020,3.42757105827331,3498.773551577823,38.6,52.8,6660,459844.0,13881.0,378001.0,11367.0,0.4,-5.94,5.2,42.8,52.0,3543826
泰安市,2020,5.28861379623413,5398.476577198972,41.9,47.8,9025,910082.0,25072.0,821190.0,18966.0,1.4,-6.71,6.9,47.2,45.9,4800006
济南市,2020,6.16863489151001,6296.778751139281,33.4,63.3,51227,4052419.0,94214.0,2033068.0,41893.0,9.5,-4.55,2.3,36.9,60.8,13971495
济宁市,2020,3.63759398460388,3713.1593797276714,37.1,52.1,14982,1154861.0,36176.0,984911.0,29344.0,0.7,-9.45,6.8,33.1,60.2,8007121
淄博市,2020,5.05191612243652,5156.861874914648,46.9,49.0,14565,1462828.0,33652.0,1152710.0,26962.0,1.5,-11.37,2.7,53.6,43.7,5775615
